created_at,entry_id,field1,field2,field3,field4,field5
2017-06-30 04:47:15 UTC,335061,315.00,0.00,0.89,0.00,0.00
2017-06-30 04:48:20 UTC,335062,45.00,0.00,0.89,0.00,0.00
2017-06-30 04:49:26 UTC,335063,45.00,0.00,0.89,0.00,0.00
2017-06-30 04:50:31 UTC,335064,45.00,0.00,0.89,0.00,0.00
2017-06-30 04:51:36 UTC,335065,0.00,0.45,0.89,0.00,0.00
2017-06-30 04:52:42 UTC,335066,0.00,0.00,0.89,0.00,0.00
2017-06-30 04:53:47 UTC,335067,90.00,0.00,0.89,0.00,0.00
2017-06-30 04:54:52 UTC,335068,180.00,0.00,0.89,0.00,0.00
2017-06-30 04:55:57 UTC,335069,45.00,0.00,0.89,0.00,0.00
2017-06-30 04:57:03 UTC,335070,0.00,0.00,0.89,0.00,0.00
2017-06-30 04:58:09 UTC,335071,45.00,0.00,0.89,0.00,0.00
2017-06-30 04:59:14 UTC,335072,0.00,0.00,0.89,0.00,0.00
2017-06-30 05:00:18 UTC,335073,45.00,0.00,0.45,0.00,0.00
2017-06-30 05:01:24 UTC,335074,45.00,0.00,0.45,0.00,0.00
2017-06-30 05:02:29 UTC,335075,45.00,0.00,0.45,0.00,0.00
2017-06-30 05:03:34 UTC,335076,0.00,0.45,1.34,0.00,0.00
2017-06-30 05:04:40 UTC,335077,0.00,0.00,1.34,0.00,0.00
2017-06-30 05:05:45 UTC,335078,45.00,0.00,1.34,0.00,0.00
2017-06-30 05:06:50 UTC,335079,0.00,0.00,1.34,0.00,0.00
2017-06-30 05:07:55 UTC,335080,45.00,0.00,1.34,0.00,0.00
2017-06-30 05:09:01 UTC,335081,90.00,0.00,1.34,0.00,0.00
2017-06-30 05:10:06 UTC,335082,90.00,0.00,0.89,0.00,0.00
2017-06-30 05:11:11 UTC,335083,90.00,0.00,0.89,0.00,0.00
2017-06-30 05:12:17 UTC,335084,45.00,0.00,0.89,0.00,0.00
2017-06-30 05:13:22 UTC,335085,45.00,0.00,0.89,0.00,0.00
2017-06-30 05:14:27 UTC,335086,135.00,0.00,0.89,0.00,0.00
2017-06-30 05:15:32 UTC,335087,135.00,0.00,0.89,0.00,0.00
2017-06-30 05:16:38 UTC,335088,90.00,0.00,0.89,0.00,0.00
